node_id	display_name	type	pathway_role	x	y	width	height
181	ABP1	gene	auxin	295	456	46	17
110	AFB3	gene	auxin	544	306	46	17
183	AHA10	gene	auxin	394	756	46	17
51	ARF19	gene	auxin	844	306	46	17
128	AT1G16510	gene	auxin	1144	381	46	17
126	AT1G23160	gene	auxin	1144	306	46	17
180	AT1G24650	gene	auxin	394	606	46	17
auxin_DNA_auxin	DNA	compound	auxin	994	306	8	8
185	H+	compound	auxin	244	756	8	8
14	IAA	compound	auxin	244	306	8	8
49	IAA10	gene	auxin	694	306	46	17
127	IAA10	gene	auxin	1144	231	46	17
136	LAX3	gene	auxin	394	306	46	17
186	MKK4	gene	auxin	544	606	46	17
197	MPK3	gene	auxin	694	606	46	17
187	TAR1	gene	auxin	544	456	46	17
auxin_PROC_AUXIN_BIOSYN	Auxin Biosynthesis	process	auxin	1294	456	70	18
auxin_PROC_PLANT_GROWTH	Plant Growth	process	auxin	1294	306	60	18
aba_16	ABA	compound	aba	244	906	8	8
aba_DNA_aba	DNA	compound	aba	994	906	8	8
aba_137	GBF4	gene	aba	844	906	46	17
62_aba	HAI2	gene	aba	544	906	46	17
aba_60	RCAR1	gene	aba	394	906	46	17
aba_67	SNRK2.4	gene	aba	694	906	46	17
aba_PROC_STOMATAL_CLOSURE	Stomatal closure/Seed dormancy	process	aba	1294	906	100	18
4016_177	CAT3	gene	NA	1144	756	46	17
4016_140	MAPKKK18	gene	NA	694	1056	46	17
4016_171	MEK1	gene	NA	694	756	46	17
4016_137	MKK3	gene	NA	844	1056	46	17
4016_227	MPK1	gene	NA	994	1056	46	17
4016_172	MPK6	gene	NA	844	681	46	17
4016_GENE_UNKNOWN	?	gene	NA	544	756	46	17
4016_DNA_aba_mapk	DNA	compound	NA	994	756	8	8
4016_COMP_H2O2	H2O2	compound	NA	994	681	8	8
4016_PROC_STRESS_ADAPT	Stress adaptation	process	NA	1294	1056	100	18
4016_PROC_STRESS_TOL	Stress-tolerant response	process	NA	1294	681	110	18
97	(-)-JA-L-Ile	compound	4075	544	1206	8	8
120	COI1	gene	4075	694	1206	46	17
DNA_jasmonate	DNA	compound	4075	1144	1206	8	8
99	JAR1	gene	4075	394	1206	46	17
88	JAZ5	gene	4075	844	1206	46	17
25	Jasmonate	compound	4075	244	1131	8	8
27	MYC2	gene	4075	994	1206	46	17
PROC_SENESCENCE	Senescence/Stress response	process	4075	1294	1206	100	18
jas_4016_GENE_UNKNOWN	?	gene	4016	694	1131	46	17
4016_PROC_ROOT_GROWTH	Root growth	process	4016	1294	1131	100	18
